id,firmannualreportid,ispassive,isadvisor,age,ownershippercent,yearjoinedfirm
360,177,False,True,47.0,50.0,2005.0
361,177,False,True,55.0,50.0,2005.0
362,178,False,True,59.0,33.3,2001.0
363,178,False,True,49.0,33.3,2005.0
364,178,False,True,65.0,33.3,2001.0
365,179,False,True,59.0,33.3,2001.0
366,179,False,True,49.0,33.3,2005.0
367,179,False,True,65.0,33.3,2001.0
368,180,False,True,56.0,100.0,1985.0
369,181,False,True,69.0,100.0,2004.0
370,182,False,True,55.0,100.0,2012.0
371,183,False,True,56.0,100.0,2012.0
372,184,False,True,56.0,100.0,1984.0
373,185,False,True,54.0,33.34,1984.0
374,185,False,True,46.0,33.33,2001.0
375,185,False,True,58.0,33.33,2010.0
376,186,False,True,45.0,100.0,2004.0
377,187,False,True,47.0,100.0,2004.0
378,188,False,True,47.0,100.0,2004.0
379,189,False,True,55.0,100.0,2003.0
380,189,True,True,67.0,0.0,2003.0
381,190,False,True,56.0,99.0,1994.0
382,190,False,False,52.0,1.0,2003.0
383,191,False,True,53.0,100.0,2012.0
384,192,False,True,53.0,100.0,2012.0
385,193,False,True,52.0,50.0,2009.0
386,193,False,True,55.0,50.0,2009.0
387,194,False,True,52.0,50.0,2009.0
388,194,False,True,55.0,50.0,2009.0
389,195,False,True,65.0,100.0,2010.0
390,196,False,False,40.0,100.0,2008.0
391,197,False,False,40.0,100.0,2008.0
392,198,False,True,45.0,45.0,2014.0
393,198,False,True,77.0,30.0,2014.0
394,198,False,True,68.0,25.0,2014.0
